
step 0: train loss 12.5739 BPC, val loss 12.5744 BPC
iter 3800: loss 1.7027 BPC, time 66.29ms, mfu 6.31%
iter 3810: loss 1.7494 BPC, time 65.38ms, mfu 6.36%
iter 3820: loss 1.7353 BPC, time 66.27ms, mfu 6.40%
iter 3830: loss 1.8319 BPC, time 64.24ms, mfu 6.45%
iter 3840: loss 1.8188 BPC, time 66.23ms, mfu 6.48%
iter 3850: loss 1.7899 BPC, time 64.74ms, mfu 6.52%
iter 3860: loss 1.7421 BPC, time 65.76ms, mfu 6.54%
iter 3870: loss 1.8417 BPC, time 65.53ms, mfu 6.57%
iter 3880: loss 1.7461 BPC, time 65.51ms, mfu 6.59%
iter 3890: loss 1.7232 BPC, time 65.88ms, mfu 6.61%
iter 3900: loss 1.8128 BPC, time 65.60ms, mfu 6.63%
iter 3910: loss 1.8242 BPC, time 66.62ms, mfu 6.63%
iter 3920: loss 1.6974 BPC, time 65.36ms, mfu 6.65%
iter 3930: loss 1.7402 BPC, time 63.72ms, mfu 6.68%
iter 3940: loss 1.6891 BPC, time 64.75ms, mfu 6.70%
iter 3950: loss 1.7461 BPC, time 65.90ms, mfu 6.71%
iter 3960: loss 1.7538 BPC, time 66.95ms, mfu 6.70%
iter 3970: loss 1.7971 BPC, time 64.68ms, mfu 6.72%
iter 3980: loss 1.7619 BPC, time 65.71ms, mfu 6.73%
iter 3990: loss 1.6843 BPC, time 65.21ms, mfu 6.74%
step 4000: train loss 1.6757 BPC, val loss 1.6938 BPC
saving checkpoint to out-enwik-char
iter 4000: loss 1.7352 BPC, time 8760.81ms, mfu 6.07%
iter 4010: loss 1.7225 BPC, time 62.19ms, mfu 6.18%
iter 4020: loss 1.8052 BPC, time 66.77ms, mfu 6.23%
iter 4030: loss 1.7421 BPC, time 64.82ms, mfu 6.29%
iter 4040: loss 1.6110 BPC, time 65.20ms, mfu 6.34%
iter 4050: loss 1.7611 BPC, time 64.97ms, mfu 6.39%
iter 4060: loss 1.7563 BPC, time 66.18ms, mfu 6.43%
iter 4070: loss 1.7267 BPC, time 65.69ms, mfu 6.46%
iter 4080: loss 1.6972 BPC, time 65.75ms, mfu 6.49%
iter 4090: loss 1.8221 BPC, time 64.82ms, mfu 6.53%
iter 4100: loss 1.8338 BPC, time 64.73ms, mfu 6.57%
iter 4110: loss 1.7780 BPC, time 65.49ms, mfu 6.59%
iter 4120: loss 1.7487 BPC, time 66.11ms, mfu 6.60%
iter 4130: loss 1.7958 BPC, time 65.92ms, mfu 6.62%
iter 4140: loss 1.8040 BPC, time 65.67ms, mfu 6.63%
iter 4150: loss 1.7851 BPC, time 64.69ms, mfu 6.66%
iter 4160: loss 1.6925 BPC, time 66.27ms, mfu 6.67%
iter 4170: loss 1.7448 BPC, time 65.46ms, mfu 6.68%
iter 4180: loss 1.7512 BPC, time 65.31ms, mfu 6.69%
iter 4190: loss 1.7626 BPC, time 64.90ms, mfu 6.71%
iter 4200: loss 1.7336 BPC, time 64.74ms, mfu 6.73%
iter 4210: loss 1.7100 BPC, time 65.70ms, mfu 6.73%
iter 4220: loss 1.7325 BPC, time 66.65ms, mfu 6.73%
iter 4230: loss 1.7336 BPC, time 65.97ms, mfu 6.73%
iter 4240: loss 1.7541 BPC, time 65.79ms, mfu 6.73%
step 4250: train loss 1.6623 BPC, val loss 1.6843 BPC
saving checkpoint to out-enwik-char
iter 4250: loss 1.7786 BPC, time 8729.73ms, mfu 6.06%
iter 4260: loss 1.7840 BPC, time 64.44ms, mfu 6.15%
iter 4270: loss 1.7718 BPC, time 65.42ms, mfu 6.21%
iter 4280: loss 1.7282 BPC, time 65.86ms, mfu 6.27%
iter 4290: loss 1.7790 BPC, time 64.21ms, mfu 6.34%
iter 4300: loss 1.7611 BPC, time 65.27ms, mfu 6.38%
iter 4310: loss 1.7759 BPC, time 64.84ms, mfu 6.43%
iter 4320: loss 1.6749 BPC, time 67.10ms, mfu 6.45%
iter 4330: loss 1.7640 BPC, time 64.32ms, mfu 6.50%
iter 4340: loss 1.7413 BPC, time 66.81ms, mfu 6.52%
iter 4350: loss 1.6906 BPC, time 65.32ms, mfu 6.55%
iter 4360: loss 1.7959 BPC, time 66.98ms, mfu 6.56%
iter 4370: loss 1.7210 BPC, time 64.58ms, mfu 6.59%
iter 4380: loss 1.7539 BPC, time 66.53ms, mfu 6.60%
iter 4390: loss 1.7844 BPC, time 64.42ms, mfu 6.63%
iter 4400: loss 1.7410 BPC, time 65.58ms, mfu 6.65%
iter 4410: loss 1.8005 BPC, time 65.97ms, mfu 6.66%
iter 4420: loss 1.6990 BPC, time 66.25ms, mfu 6.66%
iter 4430: loss 1.7505 BPC, time 65.24ms, mfu 6.68%
iter 4440: loss 1.7357 BPC, time 65.64ms, mfu 6.69%
iter 4450: loss 1.7858 BPC, time 64.91ms, mfu 6.71%
iter 4460: loss 1.7451 BPC, time 66.40ms, mfu 6.71%
iter 4470: loss 1.8348 BPC, time 64.75ms, mfu 6.72%
iter 4480: loss 1.7083 BPC, time 65.37ms, mfu 6.73%
iter 4490: loss 1.7359 BPC, time 65.53ms, mfu 6.74%
step 4500: train loss 1.6501 BPC, val loss 1.6731 BPC
saving checkpoint to out-enwik-char
iter 4500: loss 1.7132 BPC, time 8728.08ms, mfu 6.07%
iter 4510: loss 1.7789 BPC, time 66.32ms, mfu 6.13%
iter 4520: loss 1.7824 BPC, time 64.32ms, mfu 6.21%
iter 4530: loss 1.8180 BPC, time 65.46ms, mfu 6.27%
iter 4540: loss 1.7197 BPC, time 65.87ms, mfu 6.32%
iter 4550: loss 1.7267 BPC, time 66.24ms, mfu 6.36%
iter 4560: loss 1.7783 BPC, time 65.57ms, mfu 6.40%
iter 4570: loss 1.7495 BPC, time 65.89ms, mfu 6.44%
iter 4580: loss 1.6799 BPC, time 66.02ms, mfu 6.47%
iter 4590: loss 1.7493 BPC, time 66.46ms, mfu 6.49%
iter 4600: loss 1.6667 BPC, time 64.80ms, mfu 6.53%
iter 4610: loss 1.7425 BPC, time 65.95ms, mfu 6.55%
iter 4620: loss 1.7636 BPC, time 64.18ms, mfu 6.59%
iter 4630: loss 1.6849 BPC, time 66.25ms, mfu 6.60%
iter 4640: loss 1.6961 BPC, time 65.75ms, mfu 6.62%
iter 4650: loss 1.7863 BPC, time 65.98ms, mfu 6.63%
iter 4660: loss 1.7616 BPC, time 64.71ms, mfu 6.66%
iter 4670: loss 1.7256 BPC, time 65.55ms, mfu 6.67%
iter 4680: loss 1.7562 BPC, time 66.26ms, mfu 6.68%
iter 4690: loss 1.8325 BPC, time 66.19ms, mfu 6.68%
iter 4700: loss 1.7442 BPC, time 65.27ms, mfu 6.69%
iter 4710: loss 1.7570 BPC, time 65.82ms, mfu 6.70%
iter 4720: loss 1.7394 BPC, time 65.74ms, mfu 6.71%
iter 4730: loss 1.7089 BPC, time 66.21ms, mfu 6.71%
iter 4740: loss 1.6076 BPC, time 65.94ms, mfu 6.71%
step 4750: train loss 1.6455 BPC, val loss 1.6661 BPC
saving checkpoint to out-enwik-char
iter 4750: loss 1.7217 BPC, time 8694.67ms, mfu 6.05%
iter 4760: loss 1.7087 BPC, time 64.50ms, mfu 6.13%
iter 4770: loss 1.7360 BPC, time 65.42ms, mfu 6.20%
iter 4780: loss 1.7701 BPC, time 65.90ms, mfu 6.26%
iter 4790: loss 1.7227 BPC, time 64.76ms, mfu 6.32%
iter 4800: loss 1.7463 BPC, time 64.99ms, mfu 6.37%
iter 4810: loss 1.7649 BPC, time 66.64ms, mfu 6.40%
iter 4820: loss 1.7649 BPC, time 65.77ms, mfu 6.44%
iter 4830: loss 1.7341 BPC, time 65.35ms, mfu 6.48%
iter 4840: loss 1.7219 BPC, time 64.32ms, mfu 6.52%
iter 4850: loss 1.6439 BPC, time 65.48ms, mfu 6.55%
iter 4860: loss 1.7066 BPC, time 64.79ms, mfu 6.58%
iter 4870: loss 1.6930 BPC, time 64.71ms, mfu 6.61%
iter 4880: loss 1.6979 BPC, time 65.39ms, mfu 6.63%
iter 4890: loss 1.7607 BPC, time 66.98ms, mfu 6.63%
iter 4900: loss 1.7900 BPC, time 65.56ms, mfu 6.65%
iter 4910: loss 1.8448 BPC, time 65.83ms, mfu 6.66%
iter 4920: loss 1.6704 BPC, time 65.84ms, mfu 6.67%
iter 4930: loss 1.6915 BPC, time 66.81ms, mfu 6.67%
iter 4940: loss 1.6559 BPC, time 64.99ms, mfu 6.69%
iter 4950: loss 1.7034 BPC, time 64.44ms, mfu 6.71%
iter 4960: loss 1.7832 BPC, time 65.53ms, mfu 6.72%
iter 4970: loss 1.7306 BPC, time 65.62ms, mfu 6.72%
iter 4980: loss 1.6868 BPC, time 66.53ms, mfu 6.72%
iter 4990: loss 1.7292 BPC, time 65.60ms, mfu 6.73%
step 5000: train loss 1.6365 BPC, val loss 1.6643 BPC
saving checkpoint to out-enwik-char
iter 5000: loss 1.6912 BPC, time 8678.03ms, mfu 6.06%
